,DUKE-00650,DUKE-00651,DUKE-00652,DUKE-00653,DUKE-00654,DUKE-00655,DUKE-00656,DUKE-00657,DUKE-00658,DUKE-00659,DUKE-00660,DUKE-00661,DUKE-00662,DUKE-00663,DUKE-00664,DUKE-00665,DUKE-00666,DUKE-00667,DUKE-00668,DUKE-00669,DUKE-00670,DUKE-00671,DUKE-00672,DUKE-00673,DUKE-00674,DUKE-00675,DUKE-00676,DUKE-00677,DUKE-00678,DUKE-00679
"1,2-propanediol",672625.8,7673162.5,53094088,5382620,3224095,2714117.3,4075098,1229140.6,42260740,1774745.9,1222551.4,718982,9951172,8651870,1059708.9,2616459.5,4828105.5,7097220,1913781.4,24336360,5588820,3950429,1864388.6,18046430,12592842,2366107.5,1635620.1,12741253,7576789,1797112.3
"1,5-anhydroglucitol (1,5-AG)",983983.8,2456186,1760058.1,1917124.5,2601001.3,1691311.9,2913614,1700301.8,1361380.4,1442298,3646785,805936.6,266922.6,2642643.5,2127151.8,939086.4,2287590.3,769570.9,1447991.5,1348134.3,2164856.8,607239.5,1419089.1,232002,1471448.9,1745039.4,1552802,1720047.8,2797228.3,2515409.8
1-arachidonoyl-GPC (20:4n6)*,226209.1,743926.7,82612.9,159825.6,134750.3,192243.7,1076928.6,347274.8,161277.5,220352.1,163835.5,325238.8,372714.4,759792.3,308097.2,485509,273650.5,152558.1,75800.4,129616.1,282261.8,198979.9,561605.3,346024.9,188980.7,197101.1,276861,351784.8,,413753.7
1-arachidonoyl-GPE (20:4n6)*,155043.5,68664.5,286134.8,69171.1,133502.5,35814,37799,41394.6,122091.6,57930.1,65005,35691.4,38023.4,50997.6,46488.4,81754.2,109297.7,26829.8,74813.4,52969.1,69834,152154.4,72901.7,59088.9,135872.3,96277.1,124386.9,47226.4,46057.5,58585.5
1-arachidonoyl-GPI (20:4)*,162163.9,76247.1,263629.7,129020.1,97320.3,27457.9,37996.8,32710.1,77112.9,37991.8,80935.4,38667.5,33518.2,31632,41663,342824.8,191872,83752.7,71643.5,53340.5,32306.9,204426.4,92683.8,80478.6,149437.9,175346.3,173033.4,71637.8,79442.6,84626.9
1-eicosatrienoylglycerophosphocholine (20:3)*,202022.1,412101.2,37537.4,96956.8,77138.8,117131,474070.4,111390.3,160250.2,173396.5,94175.6,161192.5,110052.6,469380.1,80641.3,358464,70412.5,150212,122970.3,134960.3,575739.6,106208.9,312185.1,392027.8,205501.5,,215999.5,162663.5,48468.2,118028.3
1-margaroylglycerophosphocholine (17:0),38941.2,140110.9,,73405.1,,58401.1,104110.9,,44152.2,,,196901.6,84227.9,95307.3,49551.8,57696.2,,186559.5,35677.3,25939.2,265984.4,,92648.9,68103.9,49699.5,,28779.4,61413,,80512.3
1-linoleoylglycerol (18:2),211671.3,60957.9,252683.8,111591.8,77049.6,51663,9234.3,40666.7,97502.3,25202.4,81535.4,32187.7,62739.6,35534.1,46218.9,51456.4,141146.9,40553.2,16638,31621.5,18143.3,34877.5,38539.7,61342,278289.8,129362.5,36698.2,42916.3,71589.4,24077.3
1-linoleoyl-GPC (18:2),648330.6,1553622.3,67632,388900.9,597380.1,545932.7,3554095.8,1465135.5,572604.9,366025.4,507240.8,1263825.4,814170.1,3422730,1276048.5,901763.4,285647.6,722627.2,319226.8,289862,1406909.4,193078.8,1844879.3,450317.9,170703,243356,367197.2,936343.8,73674.7,1515740
1-linoleoylglycerophosphoethanolamine*,258899.5,52131.6,70904.9,74842.2,222732.6,13657.9,34691.8,55002.8,150658.3,25317.7,63195.5,52059.7,38008.9,52346.1,45779.9,25966.1,23531,41793.7,79862,27463.2,31054,60799.7,58291.2,16921.1,85546.7,59234,98609.2,69198.6,14919.9,74011.6
