,NCIA-01751,NCIA-01752,NCIA-01753,NCIA-01754,NCIA-01755,NCIA-01756,NCIA-01757,NCIA-01758,NCIA-01759,NCIA-01760,NCIA-01761,NCIA-01762,NCIA-01763,NCIA-01764,NCIA-01765,NCIA-01766,NCIA-01767,NCIA-01768,NCIA-01769,NCIA-01770,NCIA-01771,NCIA-01772,NCIA-01773,NCIA-01774,NCIA-01775,NCIA-01776,NCIA-01777,NCIA-01778,NCIA-01779,NCIA-01780,NCIA-01781,NCIA-01782,NCIA-01783,NCIA-01784,NCIA-01785,NCIA-01786,NCIA-01787,NCIA-01788,NCIA-01789,NCIA-01790,NCIA-01791,NCIA-01792,NCIA-01793,NCIA-01794,NCIA-01795,NCIA-01796,NCIA-01797,NCIA-01798,NCIA-01799,NCIA-01800,NCIA-01801,NCIA-01802,NCIA-01803,NCIA-01804,NCIA-01805,NCIA-01806,NCIA-01807,NCIA-01808,NCIA-01809
"1,2-dipalmitoylglycerol",1110085.1,,208732.6,,391875.6,354161.2,749402.4,1558385.1,1197518.4,508493.6,388933.2,72574.4,659853.1,308926.3,721048.4,,,,,,242758.4,29408,255273.2,,442004.6,,278419.6,356649.3,,388933.2,491772.8,84725.8,43479,,2014302,,,,1649599.6,172970.3,,10560.6,930418.7,1801934.1,16766.7,,816957.6,202394.4,,,,121226.3,1000882.7,,,,137788.2,409845.3,
"1,3-dihydroxyacetone",65243.3,64869.5,,,38216.4,127621.6,43828.7,,,93693.9,115045.6,280883.7,,,,28387.6,50469.7,111024.5,,42051.5,45306.4,64784.4,,59266.5,,27435.3,55507.2,46244.9,41574.7,103333.8,38105.3,108618.3,383449,120372.8,,81997.3,55837.3,42638.2,,,115225.1,47413.4,,58401.6,25353.1,228999.7,22243.3,,,72371.3,,54856.8,,58071.5,,38150,,23446.4,
"1,5-anhydroglucitol (1,5-AG)",105881.4,141464.2,113505.2,59902.7,20747.6,141851.2,134195.3,,372232.6,78775.9,,,57241.3,96922.6,112467.8,47846.3,40537.9,120091.6,241345.1,167663.6,196694.9,195763.7,,,,33764.4,61505.2,129857.8,,13884.9,68415.9,158299.8,148809.9,204919.8,129748.6,69350.3,51312.7,,164101.5,150134.8,,49832.3,,74294.2,347155.4,308099.1,152082.8,,60061.1,,,210016.5,,101021.3,29388.3,70412.1,25753,,175188.5
1-arachidonoyl-GPC (20:4n6)*,,159034,71814.4,,,,,,,,,25505.9,,324168.3,,800187.4,110007.5,,142049.5,,61491.8,386016.6,159034,249630.5,,,,,,,,84320.4,,,,,,,494816,,,,221319.7,,371932.4,,,774263.4,586138.3,,,,,,119779.5,,56454.4,51578.6,
1-arachidonoyl-GPE (20:4n6)*,,63667.5,,173194.7,,,,,,,,,,,257041.6,51921.8,,51921.8,,39825.3,2309.8,34624.3,,,,9230.6,46935.4,,,,30800,36814.8,156306.8,90603.2,,168591.8,10132.6,,,123672.6,61062.9,80376,,,,15897.9,,30023.3,41546,46524.7,88205.9,17293.1,,55224.4,41753.9,90244.1,65090.1,,133700
1-heptadecanoylglycerol (1-monoheptadecanoin),72852.3,,,,9795.8,10871.4,27015.5,34909.1,110491.7,,41515.2,15935.8,36343.5,13033.1,37342.6,,,,,,,,14170.8,13208.8,,,,,,,,,,,53312.5,,,,41403.1,,,,21465.4,102193.9,,,56816.8,,,,,,17544.8,,,,,25581.1,
1-margaroylglycerophosphocholine (17:0),,437006.8,223238.2,,,,290914.2,140136.3,66844.1,,,41151.9,,642178.9,,858008.6,4799139.5,,3075674,257148.8,,388615.6,539894.1,1899795.5,,290914.2,163187.5,,357232.5,48623.5,,95174.7,139931.6,,,18299.6,151051.4,437724.5,1466452.4,,,,104072.6,,6058453.5,75591.6,,1269131,2904549.5,39902.2,,59179.1,,,365896.1,,,,
1-linoleoyl-GPC (18:2),,349580.7,316508.3,,,,,130231.7,,,,,,1343116.4,115781.3,2079666.3,1277751,,1863466.8,291322,68057.3,641825.6,355687.4,2536876.5,,361794,689492.9,,,50899.7,,220607,494384.3,,,,100029.8,157030.9,2088300.5,,,,181637.6,,559621.8,,,3189663,3498090.8,,,181602.1,18747.3,,602385.6,,81769,,
1-methylimidazoleacetate,,,23584.1,165760.5,,,,,,46783.1,,32275,,20295.5,19561.3,,,25293.2,,,54959.3,75710.9,,21998.9,222180.2,244443.6,,,40644.2,34264.9,,,,34197.1,,35672.7,46626.6,47485.1,,35064,27554.5,,,,36471.8,29682.5,25940.8,,,,,30373.9,53745.4,,56875.1,,,28542.5,99018.3
1-myristoylglycerol (14:0),3214280.3,,313218.2,,2947398.5,1433043.4,4698758,7945916.5,5536982,930484.9,3983118.8,934495,2441750.8,774559.8,4049589.5,239544,,,370491.2,,1685366.9,123244.6,1613028.6,212084,988184,,392723.6,198513.5,,787911.8,,193409,,,11625204,,31264.3,15602.5,3963498.8,,,,5677251.5,13240370,719537.7,,4059416.8,1041873,435077.9,,,27879.2,3487650.8,,45065.2,,563521.5,1527694.1,
1-myristoylglycerophosphocholine,132530.2,230757.4,201099.1,45297.4,,146259.2,188825,,98576.5,175171.4,,,56260.4,564820.4,,693796.3,4203354,,1751975.3,157478.9,232036.6,,202964.4,992631.2,,444043.6,239425.8,519233,312323.9,111635.8,,82929.2,,,,,,336912.6,1341004.3,28095.3,,,167472.2,,2895481.3,97258,,551701.1,1844884,,,167664.7,,,162194.6,,,,
1-oleoylglycerol (1-monoolein),14584966,,1165136.8,,5764068,3930923.5,10252149,16962686,14907131,3743557.5,11296293,4085336.5,7927788.5,2604284.8,11914491,1259621.6,,,956336.3,21955.9,8517012,789816.1,6929719,823840.4,3682609.5,,1390906.6,782818.4,21736.1,2336007.3,45152.6,1188016.8,,,23620930,,78821.5,20634.4,10745900,93751.5,,,13763659,26996584,1126388.3,11748.9,10770522,3143447,762363.4,,,123037.3,8379225,,189422.7,9780.3,3233873.5,7738077,
1-oleoylglycerophosphocholine,,3204309.5,1992790.5,45987.9,,,1788788,1036147.6,39009.1,52699.9,137091.7,272793.3,,6270597,108288.2,4357417,28628104,1469216.9,5567923.5,1864364.9,386662.7,4699634,2255188.8,7173450,315918.8,4700943,1233986.1,,1684211.1,477205.3,19804.7,1208334.8,2300996,199996.7,7560.9,,2016456,4240713,4048615.3,,,61153.7,955103.4,97190.1,23368864,119173.6,513255.2,4455126,6534921,,49146.8,947452.6,,,2110225.5,,123878.9,74020.6,27660.2
1-oleoyl-GPE (18:1),476456.4,897432.4,900761.5,850759.3,11872,,1125499.4,574452,276561.5,57856.7,41336.5,12237.5,,608568.7,1397126.8,1197680.6,3675766.5,425306,2192638.3,1455582.5,78439.7,515641,757061.6,2323008.8,54009.6,652871.1,418606.4,88541.3,1182343.5,626876.1,108439.8,450881.2,524572.4,225721.5,22698.5,58555.6,1638738.9,1412408.4,948550,192121.8,172894.1,95908.2,20864.9,9473.5,2495050.3,45795.5,608424.5,1787360,1755048.9,65283.9,22459,324689.3,19088.7,283522,573302,516599.9,192097.5,44884.8,207962.5
1-oleoyl-GPI (18:1),338448.8,72058.9,227097,92165.8,,,3029143.3,754336,170105.9,147249.7,113114.8,59443.4,,518691.3,1166881,518576,6629813,49185.5,7089457,827763.7,60492.3,148563.2,2626335.3,3373858.5,,281735.8,73545.5,43109.5,815457.9,241113.6,18330.8,94929.5,,27436.7,,,1048782.4,1260342,1372358.3,55937.5,39638.4,,68185.4,,5560264,32118,672610.3,2272479.5,1156476.5,,,41841.3,12554.5,43170.4,76717.1,,76332.9,,
1-palmitoleoyl-GPC (16:1)*,,660809.3,265989.2,,95491,,238483.8,119336.8,114580.1,,,,,880137.3,,941401.4,5295374,147418.2,1893203,161019.6,,507650.9,350207.9,2654352.5,408504.7,641408.6,396186.3,,162140.1,,,163894.3,203890.8,,,,322734.3,321521.7,2104350.8,,,196000.1,212563.6,51590.6,3716540.3,,,999555.5,3207100,,,291678.7,,,294048.1,,,,
1-palmitoyl-GPC (16:0),289558.6,9273572,7510649.5,266220.7,,541350.7,9951222,5951749.5,280199.3,301447.3,1234263.8,2163097.8,672477.1,39095128,1095087.3,10434672,65440316,4634603.5,6582628.5,5293689.5,3678464.8,21080232,11603055,7220444.5,595189.7,13061010,4043054.3,15663.1,19760770,3388229,39884.8,3845976,13196574,566197.4,49833.6,,11816187,26190628,6644462,101149.2,,609997.2,3506704.8,585149.6,91533016,483228.2,9278125,10971380,7923910,187964.7,162270,3674216,173912.7,274966.1,6037333,,595422.4,,127844.8
