,MSKC-00573,MSKC-00574,MSKC-00575,MSKC-00576,MSKC-00577,MSKC-00578,MSKC-00579,MSKC-00580,MSKC-00581,MSKC-00582,MSKC-00583,MSKC-00584,MSKC-00585,MSKC-00586,MSKC-00587,MSKC-00588,MSKC-00589,MSKC-00590,MSKC-00591,MSKC-00592,MSKC-00593,MSKC-00594,MSKC-00595,MSKC-00596,MSKC-00597,MSKC-00598,MSKC-00599,MSKC-00600,MSKC-00601,MSKC-00602,MSKC-00603,MSKC-00604,MSKC-00605,MSKC-00606,MSKC-00607,MSKC-00608,MSKC-00609,MSKC-00610,MSKC-00611,MSKC-00612,MSKC-00613,MSKC-00614,MSKC-00615,MSKC-00616,MSKC-00617,MSKC-00618,MSKC-00619,MSKC-00620,MSKC-00621,MSKC-00622,MSKC-00623,MSKC-00624,MSKC-00625,MSKC-00626,MSKC-00627,MSKC-00628,MSKC-00629,MSKC-00630,MSKC-00631,MSKC-00632,MSKC-00633,MSKC-00634,MSKC-00635,MSKC-00636,MSKC-00637,MSKC-00638,MSKC-00639,MSKC-00640,MSKC-00641,MSKC-00642,MSKC-00643,MSKC-00644,MSKC-00645,MSKC-00646,MSKC-00647,MSKC-00648,MSKC-00649,MSKC-00650,MSKC-00651,MSKC-00652,MSKC-00653,MSKC-00654,MSKC-00655,MSKC-00656,MSKC-00657,MSKC-00658,MSKC-00659,MSKC-00660,MSKC-00661,MSKC-00662,MSKC-00663,MSKC-00664,MSKC-00665,MSKC-00666,MSKC-00667,MSKC-00668,MSKC-00669,MSKC-00670,MSKC-00671,MSKC-00672,MSKC-00673,MSKC-00674,MSKC-00675,MSKC-00676,MSKC-00677,MSKC-00678,MSKC-00679,MSKC-00680,MSKC-00681,MSKC-00682,MSKC-00683,MSKC-00684,MSKC-00685,MSKC-00686,MSKC-00687,MSKC-00688,MSKC-00689,MSKC-00690,MSKC-00691,MSKC-00692,MSKC-00693,MSKC-00694,MSKC-00695,MSKC-00696,MSKC-00697,MSKC-00698,MSKC-00699,MSKC-00700,MSKC-00701,MSKC-00702,MSKC-00703,MSKC-00704,MSKC-00705,MSKC-00706,MSKC-00707,MSKC-00708,MSKC-00709,MSKC-00710,MSKC-00711,MSKC-00712,MSKC-00713,MSKC-00714,MSKC-00715,MSKC-00716,MSKC-00717,MSKC-00718,MSKC-00719,MSKC-00720,MSKC-00721,MSKC-00722,MSKC-00723,MSKC-00724,MSKC-00725,MSKC-00726,MSKC-00727,MSKC-00728,MSKC-00729,MSKC-00730,MSKC-00731,MSKC-00732,MSKC-00733,MSKC-00734
glycine,84082408,46806680,78860456,58072112,100126416,128816872,101082016,106121840,251120512,123206240,133727112,94384048,70145280,95195176,80390808,102266216,78877896,123562128,128752576,46125392,70406768,42543292,62573948,49976716,14794599,56397392,81488816,91097672,8783840,44706220,83864496,78597832,16542449,8253630,51006668,60556244,31653536,71184328,67336136,100290736,61024496,41797732,78459304,86870392,24783412,46881200,81558464,87134480,39396764,18092154,112728464,86182776,86779864,121960456,88098472,110818920,98110760,93460840,72509952,77416088,189882528,206014592,216861680,207454768,69980560,22409352,32309084,77646872,57349860,42619736,123317448,30856700,103712256,8385400,9305072,9813799,66410708,57252036,8708317,25875140,91878064,15737587,50640768,32993924,40235420,11035606,14465702,11099175,85159168,59108096,87296720,51354440,77717872,87438392,60806312,59369868,127554096,18167044,172761376,146999072,131730168,103607976,144450032,93550616,45533772,53692136,46253664,44057096,75196080,15976887,83418912,81488816,26071498,46088968,137002592,107350296,52177512,167980128,77824088,17816164,62510128,272808800,27810598,100876176,119667968,27969296,189608656,91983936,146478224,135634704,112691672,109098672,108763064,118462072,94454256,77426456,55048288,118910000,144975696,142366848,106660408,84331272,31491578,141987616,125359768,116189448,121489792,90900448,71293336,128462544,101643784,110991952,85446088,42377792,145757856,220691840,168492768,112787152,113280704,26474934,56059344,138061952
N-acetylglycine,208844.9063,195160.75,188096.25,236188.5625,135729.4063,326658.9063,180247.3125,272523.875,1421639.5,635626.3125,521874.4063,375817.0938,372834.75,340545.5938,509458.5938,313926.9688,260878.5781,367536.625,300684.9688,311793.625,139120.9063,,305630.2188,,272822.4688,393664.5625,418875.0625,510044.7813,485491.0625,171900.5313,388627.2188,337070.1875,,,337248.5938,240578.7969,250806.4531,178496.2969,238953.1719,186990.8594,142257.4375,149317.5938,310354,105425.8203,192982.4688,,151584.4844,,252434.1719,,577377.3125,670780.9375,790188.5,588872.3125,521288.25,339498.9063,831199.1875,600216.875,391979.5938,504511.1563,380737.4063,820956.875,907674.3125,558457.375,561237.8125,258733.2656,327049.5313,472184.0313,199530.1875,694777.8125,2620848,,369098.1563,173251.4844,435442.4688,226681.9219,279425.6875,338480.6563,286537.5,198788.6719,156875,640794.125,636399.25,435052.75,541052.875,685477.375,823741.6875,676748.5,557297.875,485094.9063,388794.1875,684027,275243.1563,522677.2813,1255507.875,792038.75,887055.125,212970.875,1981102.25,1139294,285398.9688,405571.1563,342357.5938,362574.7813,2229623.25,2654284.5,493806.375,809031.625,792133.5,447609.6875,345684.125,403918.7813,675685.375,605707.625,1249691,966227.0625,372464.5313,307544.0938,590470.75,892424.875,2528705,1243440.75,4560983.5,902839.75,641682.1875,1173196.25,436119.9688,657277.375,779347.3125,276387.4688,751113.125,1154666,690709.3125,807097,1367898.5,390328.2813,538395.1875,726465.4375,2977992,1221384.125,1268698,744341.6875,1231195.25,1055334.375,1032766.063,534503,1325382.25,248138.875,548714.75,1160197.5,447368.6875,784421.625,612795.3125,702306.5625,702763.5,725551.875,1086613.5,1468499.625,571401.0625,990245.5,1003830.625,599374.4375
sarcosine,,,465906.5,,1119976.875,547146.125,,,7299881.5,2584349,2590154,998232.8125,1714498.875,,532219.9375,381394.4688,576332.25,3521258,5860111.5,297884.1563,388942.7813,,1030528.5,,,,,,,195443.4219,1063665,,,,,857741.6875,298580.375,,1181364.125,606431.25,508192.75,,885602.6875,1242270.5,182295.9688,,,,512107.0625,,4677275,,,,623674.8125,318630.4063,16998534,32064500,20552666,16882390,3517899.25,4439864,2943479.5,2700919.25,,,,433981.8125,,1518285.25,989374.375,,2444318.5,,,,,576978.6875,,,,,,,,,,,821629.9375,238701.2813,,1522441.75,544386.25,3010676,,,,,5147483,4593562.5,1938301.25,1492562,1735160.25,,,351259.375,361623.4375,,700598.9375,,,393456.6563,,1642902.625,220829.7031,1408081.625,,4386918,739065.4375,345545.4375,,643628.375,,1014861.313,1123786.75,,1096801.625,1745911.375,6116479,960156.3125,1613747,2471778.5,7585106,1990388.625,1985435.125,927202.9375,1001231.625,4641923,1035729.938,4387503.5,2844963.5,896326.8125,1055864.875,2917186.25,1395035.375,187483.2031,783351.3125,525821.8125,592347.875,2841806,1480486.75,613483.75,940760.6875,2872364.75,3761683.75,1147257.75,,883778.4375,642157.125,421871.9063,587175.25,1803707.5
dimethylglycine,3021811.5,2099840.5,2318406.25,2128322.25,3949630.5,2213318,2397132.5,2238569.5,6362453,4649608,4252970,2757298.5,2196990.75,1984321.5,2951423.5,2515382.75,1727130.875,4743998,4447421,2564533.5,1772305.25,1335342.125,4050989.75,1131697.875,846172.625,1622425.5,1917596.125,2062883,962765.8125,1412346.25,2907733.75,2700304.5,1207935.25,,1197168.625,1500997.25,1380477.625,1266051,1940220.75,1959671.625,1521840.25,1383195.875,2961497,4224141.5,1265824.75,1203824.375,1737817,2342088,1709207.625,642402.5625,3459858.25,2282818.25,1915964,1847411.875,2585493.5,3010897.5,6827959,7211349.5,5581795,6143616,5500122.5,1839143.125,2172549,1789779.375,1550165.75,422527.3438,449852.625,702208.625,871848.875,3757296.5,3356082,1944113.5,16974082,,1195129.75,676433.25,1539245,1757089.375,1406252.5,1182672.875,1902612.75,909521.3125,1682441.5,917645.375,1218976.25,697926.1875,1303533.25,1983309.375,2056428.125,2265495,2108988.25,2563922.5,4043640,5110632,2373152.75,2604576.25,2563922.5,450271.6563,8890065,10666316,3861072.5,4194078,10461927,650561.9375,3104584,3563657.5,2843670,4022980,2080509,3234245.5,2621269.5,3859301,3015527.5,6121493.5,2413061.5,4362288.5,1684182.75,3745082.5,4559611,4041754.75,2961104.75,2841633.75,2704335.75,3783495.75,2497624.75,2168876.5,3859458,5019193,5765293.5,4571760,3156787.25,5806693.5,10766556,2454394.25,5579943,1855994.25,5181457.5,5826814.5,2719156.75,4988470.5,6024866,4289829,3460652.25,3653496,9386809,2963155,2390256.75,2151200.75,2026220.875,6825983,8852591,1499099.625,2798958.5,4642172,6515888.5,13239560,5888962,3431642,3254079.25,2327944.5,2084997.5,10506679
betaine,606761088,340553280,497063392,465638528,780542144,426989120,303714496,510231136,1585541376,1031364544,973243200,1169822080,1049169472,488274688,4501369856,406430944,178729488,1151031936,1139483904,164473312,242701888,161118928,4088586752,488157216,123729568,635692800,752930048,608515584,47607648,379958048,736898816,495030560,189799920,19821410,213221968,296871168,236365504,200278608,1413666816,257912800,810267136,442799872,1077177088,902608896,168636208,254940688,395603776,376893728,121835440,23608032,497928544,284346496,185521328,691275392,253000896,407156064,2271122688,2229780224,1436834304,2148907008,1002084736,785002432,542785024,646113920,427641280,490337280,676472384,1675129984,346403296,390798944,793331008,141919808,1505365504,19962970,44452000,34991176,1314737664,191480272,56814584,285082656,409548544,62995056,123961040,61431568,97347720,36002988,58940728,73539248,370285248,229182576,549284864,898504640,1907775104,490337280,256742368,325022080,592434176,153719328,1140809600,1153460096,504512480,341585792,1425842688,1698422400,170975856,246286576,294720992,173217408,697344384,85885600,96782152,433871200,77464800,401427200,195509040,503286496,261921232,637647744,2643844352,146004784,145819008,1262977408,81137160,627864960,961627584,157451184,1469804160,532091552,1996097152,1327693184,1155040512,869192384,1357564800,1795224064,497934144,257701728,339400288,1453414272,251258304,1574560000,1108872960,746500160,111755824,936518720,871480192,614080704,383762688,1445415936,145175120,1063762688,2215432192,741695232,693237888,719719616,1788926208,1696614016,296068160,609591040,1899252992,125229936,432946272,2773042944
betaine aldehyde,176362.9688,,231226.5781,,178412.8594,3192582.25,1926737.125,1329428,666666.4375,315520.5313,408860.75,,,3673976,2678468,6701154,,3497190,2824978.25,,,698761,1689679.75,3459686.5,,191276.75,271966.2813,,,1069027.375,805271.75,1408868.75,79360.3438,,783739.125,1075821,734425.0625,1913530.125,838788.8125,2499685.75,154729.0313,943476.3125,951196.875,328397.5,445847.1875,7325487.5,8939299,7545083.5,,,391796.2188,,,5924215.5,160318.1563,2806503,1376512.75,1170814.5,1194285.125,264973.9375,3815980.75,1283152.125,1393282.375,2475147.5,1651729.25,,,420067.5313,6778696.5,,2273238.75,,122346.2188,,,,1101495.5,,17370.4941,60054.7813,3388813.75,,,,,,,,,282692.7813,2862009.25,,,,2070971.125,,5407590.5,468167.5625,,663096.9375,174970.2031,664763.9375,635564.25,,77100.1406,164503.2344,328818.7813,,,,,,,,,347438.2188,584816.5,,,,,1289536,117366.8672,294716.9063,312614.875,,1025299.313,,5722056.5,,,,882524.3125,539588.8125,290753.5625,,,224659.0938,99691.875,328581.1563,546625.75,629685.4375,,563993.9375,,,,142346.8594,,468051.4375,,326343.8438,,,,,533282.9375,,,,,
serine,58871764,41605248,59966784,49458224,59773936,151181856,92136520,92331200,76338040,63105088,66354408,67374240,46999420,88680296,55286532,67172216,72221120,87566928,162458320,46725336,65425408,54572840,57468752,79257904,43461052,60544336,76919064,71439624,54291660,90188336,89502896,109151920,52034176,28093962,58383336,62412988,55704012,74960768,69358176,97341240,132419856,86603656,136992736,90019472,52715768,65679808,63295024,70451520,76372040,53318532,49669820,82999992,97952728,86981688,112996400,82341224,98589432,92635248,83507712,73318720,142891744,93875856,116288144,111589152,62251508,47969048,64076416,81952936,72869912,38530552,133888680,58101308,68119752,38961036,42494420,43975600,61625348,67937080,31695658,51808804,69308632,43268256,58860216,53087968,61263628,36919776,38641416,31653378,104340864,78507928,58511124,49577424,72065352,67374240,82628512,41995800,98292264,46716808,80607584,94177832,90339920,99785216,82042192,85818312,31202522,34452556,72549568,83753864,68404592,37886684,89383920,61784980,44847816,35414024,150549008,56302704,50644180,120955288,67984896,10375197,44065324,60045264,24748532,47595772,97743648,27617202,84725624,51484060,62549232,73079080,146899568,78402448,81014056,65559164,63645544,59597704,42492436,100040152,49906648,147320448,43603016,44274616,39335656,98013056,107645768,60037716,193131984,108662240,109295368,62660404,56578884,65852320,68246408,45968176,223712448,89882592,88816560,98875648,116455336,40624388,46917676,182082160
N-acetylserine,6347691,3346662.5,4069166.75,4555739.5,6823240,8854721,4134993.25,4870051,13651087,8041921,7636583,11376742,4934082.5,4631287,5654278,2478238.5,3825972.5,3944637.75,6886271,3344506.25,3486714.75,1484325,3396421.5,1740322.375,3319444.25,8250396,10658524,12603539,1029225.688,4118020,5703431.5,6205137.5,2351483.25,578523.75,3178063.25,3881323.75,3030775.25,1846377.875,3858685.75,3201081.5,7448430.5,2972644,9524827,4757643,1380674.625,1720393.875,2269197,2028018,2957573.5,155607.25,7921901,14255095,29423944,6757105,31133288,4713384.5,11847920,11302988,6948797,7010645,6889511.5,8961484,5158281.5,7471324,4390291,973244.6875,1920144.625,3359752,2765906.5,5145338.5,7915611,4169387.5,8293387,305446.0938,698206.5,767943.4375,3200685.5,9847916,579295.4375,4121493.75,3320705.25,1202991.875,4595768.5,4763336,5916600,573301.6875,923911.4375,893507.0625,25497546,17384420,4427109.5,6601865,5649170.5,4642121.5,8030887.5,21904624,7697289.5,595390.75,13255454,19015612,11247523,9274601,7846164.5,9394913,6966978,3339892.5,5249796,4744062.5,8992991,1020820.938,7516176,10811483,4569750,5879588.5,10573495,6387267,1812361.75,29213426,37579984,1848282.5,10942919,9916395,5292981,8915169,15466231,1849830.875,6757105,11639825,13619994,12703473,16519223,16536606,11117718,11320365,12587521,25865898,7502999,34512544,7895252.5,10404000,8878068,8089306,6567318,18523578,12034756,10422450,13931628,14865838,13780238,10759254,20087002,8668658,21744490,10127614,25631098,18113758,8579885,15838305,8425690,2040257.125,3792058,45061700
2-methylserine,593525.875,405603.9688,302138.9063,515070.0625,609715,702601.4375,533947.75,592384.375,822317.0625,575014.0625,951932.375,553608.5,476504.4063,604640.875,386455,361290.7813,544852.25,774573.6875,1034590.438,595692.375,860231.4375,153147.625,585739.25,528802.75,209971.1094,573662.625,709117.8125,690793.5,143801.5625,485599.9063,880497,577089.5,405935.5625,,,828116.875,741498.3125,,994990.125,614193.25,712908.5625,609715,1200750.625,1000670.938,179170.7656,306204.6875,197514.1094,541151.4375,367470.2813,,,,,322792.4063,4662725.5,4452457.5,895913.5625,869773.75,762657.25,882989.75,727856.375,1367472.75,1290416.25,1182071.125,522739.0313,355552.875,595508.4375,692908,251214.75,234065.3125,475523.875,203964.2813,706298.6875,,,,305148.6563,220584.2969,93165.7422,265826.5313,333980.1875,121502.3359,,269822.3125,381697.4063,,,,1096999.625,921046.0625,578289.125,390318.3438,,411252.625,594838.375,280310.375,756228.4375,,1258204.25,567922.75,1016904.188,714082.9375,529255.5625,,621363.5,376876.2813,116332.0625,418714.0313,,,353302.875,515272.0938,,573199.3125,857481.0625,611660.625,1003450.188,941101.125,192284.1094,232925.5469,455778.5,632431.3125,1135842,779391.25,1123990.875,389970,749894.9375,1308332.75,3024197.75,2133733.5,1509819.5,1078254.875,1650039.75,1747135.25,1262981.5,523854.6563,780056.6875,1097892.5,1459437.375,1382786.625,1047750.438,729315.5625,607876.8125,1314628.375,775263.5625,462678.7188,294967.875,649412.5625,1073108.625,155652.4688,2306175,620444.875,387490,624293.5625,843726.3125,1200152.125,797417,596824.5,883145.0625,222669.0156,501261.5938,677869.625
threonine,106065968,76696360,87115808,92735000,107601968,240163248,161360336,151060000,177185904,121439056,131632712,128448560,89754216,155615632,113376280,137542400,127937440,109089616,182087824,96730584,115520576,87886104,91740544,119538104,70986856,100579632,130761528,130672624,87529976,116640000,129212072,160863056,79658008,42952020,98137296,93059208,92325136,110639472,104168800,135773952,206486480,129994448,202880048,155543664,84287432,105313352,115960896,128996776,133262800,249215568,81449360,147419344,167793632,172215248,213816016,133392000,151915488,138372560,118414952,120466376,262439552,315104160,361693408,306551136,103180912,65945592,95352896,115070432,111796112,104254128,205746880,80747648,84466960,62634056,72196696,71043360,100314672,132761552,58413452,97532976,124748768,68769360,106161416,90925352,102498720,67429664,66256696,66259188,238947680,142075616,105112504,109989320,142247712,131282456,142616160,107982416,158146208,72652576,189442256,154450496,168697744,178782352,123673608,158000128,80301592,100830584,121570240,138440736,140463040,70094832,162990608,127440400,95418448,105601096,289891680,115226992,84213040,391372480,146327840,45578420,96472960,148903360,59685296,101887552,200204240,73688024,124688320,139582384,125324344,161541664,305329056,219376128,179664928,126257264,120485248,163962816,111148448,205817744,128838400,287922112,104363328,74766384,121696472,175207584,181248400,134008352,347502432,188110224,219397312,117643768,112327328,140041168,146555024,134135336,390700032,163007056,196024816,182815168,254831840,126257264,136692192,384206784
